iter	Passed	Remaining
375	623	1035
376	625	1033
377	626	1031
378	628	1029
379	630	1028
380	631	1026
381	633	1024
382	634	1022
383	636	1020
384	637	1018
385	639	1017
386	640	1015
387	642	1013
388	644	1011
389	645	1009
390	646	1007
391	648	1005
392	649	1003
393	651	1001
394	652	999
395	654	997
396	655	996
397	657	994
398	658	992
399	660	990
400	661	988
401	663	986
402	664	984
403	666	982
404	667	980
405	669	978
406	670	976
407	672	975
408	673	973
409	675	971
410	676	969
411	677	967
412	679	965
413	680	963
414	681	961
415	683	959
416	685	957
417	686	956
418	688	954
419	689	952
420	691	950
421	692	948
422	693	946
423	695	944
424	696	942
425	698	940
426	699	938
427	701	937
428	702	935
429	703	933
430	705	931
431	707	929
432	708	927
433	709	925
434	711	923
435	712	921
436	714	919
437	715	918
438	716	916
439	718	914
440	719	912
441	721	910
442	722	908
443	724	907
444	725	905
445	727	903
446	728	901
447	730	899
448	731	898
449	733	896
450	734	894
451	736	892
452	737	891
453	739	889
454	740	887
455	742	885
456	743	883
457	745	881
458	746	879
459	747	878
460	749	876
461	750	874
462	752	872
463	753	870
464	756	870
465	757	868
466	759	866
467	761	865
468	762	863
469	764	861
470	765	859
471	767	858
472	769	857
473	771	855
474	772	854
475	774	852
476	775	850
477	777	848
478	778	847
479	780	845
480	781	843
481	783	842
482	785	841
483	787	839
484	788	837
485	790	835
486	791	833
487	793	832
488	794	830
489	795	828
490	797	826
491	798	824
492	800	823
493	801	821
494	803	819
495	804	817
496	806	815
497	807	814
498	808	812
499	810	810
500	812	808
501	813	806
502	814	805
503	816	803
504	818	801
505	819	800
506	820	798
507	822	796
508	823	794
509	825	792
510	826	791
511	828	789
512	829	787
513	831	786
514	832	784
515	834	782
516	835	780
517	837	779
518	838	777
519	839	775
520	841	773
521	843	771
522	844	770
523	845	768
524	847	766
525	849	765
526	850	763
527	852	761
528	853	759
529	855	758
530	856	756
531	858	755
532	859	753
533	861	751
534	862	749
535	864	748
536	865	746
537	867	744
538	868	743
539	870	741
540	871	739
541	873	737
542	874	736
543	876	734
544	877	732
545	879	731
546	881	729
547	882	728
548	884	726
549	885	724
550	887	723
551	888	721
552	890	719
553	891	717
554	892	715
555	894	714
556	895	712
557	897	710
558	899	709
559	900	707
560	901	705
561	903	703
562	904	702
563	906	700
564	907	699
565	909	697
566	910	695
567	912	694
568	914	692
569	915	690
570	916	688
571	918	687
572	919	685
573	921	683
574	922	682
575	924	680
576	926	678
577	927	677
578	929	675
579	930	673
580	932	672
581	934	670
582	936	669
583	938	668
584	940	667
585	942	665
586	943	664
587	945	662
588	947	661
589	951	661
590	953	659
591	955	658
592	956	656
593	958	655
594	959	653
595	961	651
596	963	650
597	964	648
598	966	647
599	968	645
600	969	643
601	970	641
602	972	640
603	973	638
604	975	636
605	976	635
606	978	633
607	979	631
608	981	629
609	982	628
610	983	626
611	985	624
612	986	623
613	988	621
614	989	619
615	991	618
616	992	616
617	994	614
618	995	612
619	997	611
620	998	609
621	999	607
622	1001	605
623	1002	604
624	1004	602
625	1005	600
626	1007	599
627	1008	597
628	1010	595
629	1011	594
630	1013	592
631	1014	590
632	1015	589
633	1017	587
634	1019	585
635	1020	584
636	1021	582
637	1023	580
638	1024	578
639	1026	577
640	1027	575
641	1028	573
642	1030	571
643	1031	570
644	1033	568
645	1034	566
646	1036	565
647	1037	563
648	1038	561
649	1040	560
650	1041	558
651	1043	556
652	1044	554
653	1046	553
654	1047	551
655	1048	550
656	1050	548
657	1051	546
658	1053	545
659	1054	543
660	1056	541
661	1057	539
662	1058	538
663	1060	536
664	1062	535
665	1063	533
666	1065	531
667	1066	530
668	1067	528
669	1069	526
670	1070	524
671	1072	523
672	1073	521
673	1075	519
674	1076	518
675	1077	516
676	1079	514
677	1080	513
678	1082	511
679	1083	509
680	1085	508
681	1086	506
682	1088	505
683	1089	503
684	1091	501
685	1092	500
686	1094	498
687	1095	496
688	1096	495
689	1098	493
690	1100	492
691	1101	490
692	1103	488
693	1104	487
694	1106	485
695	1107	483
696	1109	482
697	1110	480
698	1112	479
699	1114	477
700	1115	475
701	1117	474
702	1119	473
703	1121	471
704	1122	469
705	1124	468
706	1126	466
707	1127	465
708	1130	463
709	1132	462
710	1134	461
711	1136	459
712	1137	457
713	1139	456
714	1140	454
715	1142	453
716	1144	451
717	1146	450
718	1147	448
719	1149	447
720	1151	445
721	1152	443
722	1154	442
723	1155	440
724	1157	438
725	1158	437
726	1160	435
727	1161	434
728	1163	432
729	1164	430
730	1166	429
731	1168	427
732	1169	426
733	1171	424
734	1173	422
735	1174	421
736	1176	419
737	1177	418
738	1179	416
739	1180	414
740	1182	413
741	1183	411
742	1185	409
743	1186	408
744	1188	406
745	1189	404
746	1190	403
747	1192	401
748	1194	400
749	1195	398
750	1196	396
751	1198	395
752	1199	393
753	1201	391
754	1202	390
755	1204	388
756	1205	387
757	1207	385
758	1208	383
759	1210	382
760	1212	380
761	1213	379
762	1215	377
763	1217	375
764	1218	374
765	1220	372
766	1221	371
767	1223	369
768	1225	368
769	1227	366
770	1228	364
771	1230	363
772	1232	361
773	1233	360
774	1235	358
775	1237	357
776	1238	355
777	1239	353
778	1241	352
779	1243	350
780	1244	348
781	1246	347
782	1247	345
783	1249	344
784	1250	342
785	1252	340
786	1253	339
787	1255	337
788	1256	336
789	1258	334
790	1259	332
791	1261	331
792	1263	329
793	1264	328
794	1266	326
795	1267	324
796	1269	323
797	1270	321
798	1272	320
799	1273	318
800	1275	316
801	1276	315
802	1277	313
803	1279	311
804	1280	310
805	1282	308
806	1283	306
807	1284	305
808	1286	303
809	1287	302
810	1289	300
811	1290	298
812	1291	297
813	1293	295
814	1294	293
815	1296	292
816	1297	290
817	1299	289
818	1300	287
819	1302	285
820	1303	284
821	1305	282
822	1306	281
823	1308	279
824	1309	277
825	1310	276
826	1312	274
827	1313	272
828	1315	271
829	1317	269
830	1318	268
831	1320	266
832	1321	265
833	1323	263
834	1325	261
835	1326	260
836	1328	258
837	1329	257
838	1331	255
839	1332	253
840	1334	252
841	1335	250
842	1337	249
843	1338	247
844	1339	245
845	1341	244
846	1342	242
847	1344	240
848	1345	239
849	1347	237
850	1348	236
851	1349	234
852	1351	232
853	1352	231
854	1354	229
855	1355	228
856	1357	226
857	1358	224
858	1360	223
859	1361	221
860	1363	220
861	1364	218
862	1365	216
863	1367	215
864	1368	213
865	1370	212
866	1371	210
867	1373	208
868	1374	207
869	1375	205
870	1377	203
871	1378	202
872	1380	200
873	1381	199
874	1382	197
875	1384	195
876	1385	194
877	1387	192
878	1389	191
879	1390	189
880	1391	188
881	1393	186
882	1394	184
883	1396	183
884	1397	181
885	1399	180
886	1400	178
887	1402	176
888	1403	175
889	1405	173
890	1406	172
891	1408	170
892	1409	168
893	1410	167
894	1412	165
895	1414	164
896	1415	162
897	1416	160
898	1418	159
899	1419	157
900	1421	156
901	1422	154
902	1424	152
903	1425	151
904	1427	149
905	1428	148
906	1430	146
907	1431	145
908	1433	143
909	1434	141
910	1435	140
911	1437	138
912	1438	137
913	1439	135
914	1441	133
915	1442	132
916	1444	130
917	1445	129
918	1447	127
919	1448	125
920	1449	124
921	1451	122
922	1452	121
923	1454	119
924	1455	118
925	1456	116
926	1458	114
927	1459	113
928	1461	111
929	1462	110
930	1464	108
931	1465	106
932	1467	105
933	1468	103
934	1469	102
935	1471	100
936	1472	99
937	1474	97
938	1475	95
939	1477	94
940	1478	92
941	1479	91
942	1481	89
943	1482	87
944	1484	86
945	1486	84
946	1488	83
947	1489	81
948	1491	80
949	1492	78
950	1494	77
951	1495	75
952	1497	73
953	1499	72
954	1500	70
955	1502	69
956	1503	67
957	1504	65
958	1506	64
959	1507	62
960	1509	61
961	1511	59
962	1512	58
963	1514	56
964	1515	54
965	1517	53
966	1518	51
967	1520	50
968	1521	48
969	1522	47
970	1524	45
971	1525	43
972	1527	42
973	1528	40
974	1530	39
975	1531	37
976	1532	36
977	1534	34
978	1535	32
979	1537	31
980	1538	29
981	1539	28
982	1541	26
983	1542	25
984	1544	23
985	1545	21
986	1547	20
987	1548	18
988	1549	17
989	1551	15
990	1552	14
991	1553	12
992	1555	10
993	1557	9
994	1558	7
995	1560	6
996	1561	4
997	1562	3
998	1564	1
999	1565	0
