iter	Logloss
0	0.680557251
1	0.6707706451
2	0.6603034973
3	0.6524169922
4	0.6396824646
5	0.6302084351
6	0.6224817657
7	0.6138215256
8	0.6052185822
9	0.5943383026
10	0.5869760132
11	0.5777669144
12	0.5683348846
13	0.5589925385
14	0.5520131683
15	0.5439832306
16	0.5367826843
17	0.5287665939
18	0.5212480927
19	0.5148358536
20	0.5075676727
21	0.5019128036
22	0.4943589783
23	0.4877399063
24	0.481722908
25	0.4762401962
26	0.4701865768
27	0.463207016
28	0.4564700699
29	0.4506313324
30	0.4434298706
31	0.4383193207
32	0.432919426
33	0.4275253296
34	0.4211598587
35	0.4148959732
36	0.4091097641
37	0.4057038879
38	0.4000331879
39	0.3935354996
40	0.3879218292
41	0.3825788116
42	0.3774549103
43	0.3725796509
44	0.3667437363
45	0.363201828
46	0.3580299759
47	0.3543541718
48	0.3492141342
49	0.3457468414
50	0.3413130188
51	0.3355164337
52	0.3313261795
53	0.3265872192
54	0.3223822784
55	0.3187292671
56	0.3151428986
57	0.3097270966
58	0.3053162766
59	0.3012921524
60	0.2969008636
61	0.292681675
62	0.2893306732
63	0.2851281738
64	0.2813557816
65	0.2779000282
66	0.2739759827
67	0.2709027863
68	0.2674548912
69	0.2646349907
70	0.2607260704
71	0.2573254585
72	0.2546335602
73	0.2510699844
74	0.2488188934
75	0.2446298599
76	0.2422307968
77	0.2393241119
78	0.2370397949
79	0.233227005
80	0.2309617805
81	0.2284143639
82	0.2254773331
83	0.2227039909
84	0.2194215775
85	0.2165478134
86	0.2137545013
87	0.2120845413
88	0.2092564774
89	0.2076218796
90	0.2045562363
91	0.2028829575
92	0.2008901596
93	0.1985380173
94	0.1962318039
95	0.1943384933
96	0.1920479774
97	0.1905549049
98	0.1885446167
99	0.1863360596
100	0.1844012451
101	0.1827607346
102	0.1804272842
103	0.178915596
104	0.1770369911
105	0.1750332069
106	0.173620739
107	0.1715826416
108	0.1702348709
109	0.1684664726
110	0.1667767715
111	0.1646403503
112	0.1631131935
113	0.1614493752
114	0.1598713303
115	0.1583725548
116	0.1568004036
117	0.1550669289
118	0.1530417252
119	0.1518630791
120	0.150316391
121	0.1484309578
122	0.1464753914
123	0.1448044682
124	0.1432543755
125	0.1415145111
126	0.1400309753
127	0.1386806679
128	0.1372572708
129	0.1361175728
130	0.1347317696
131	0.1332110023
132	0.1319873428
133	0.1309341812
134	0.1295474815
135	0.1281592178
136	0.1270894432
137	0.1256556606
138	0.1241355801
139	0.1229833317
140	0.1216468811
141	0.1206672668
142	0.11951231
143	0.1184526062
144	0.1173489094
145	0.1160152435
146	0.1149004936
147	0.1137545776
148	0.1129463959
149	0.1121255684
150	0.1112972832
151	0.1099847126
152	0.1090509892
153	0.1082921791
154	0.1073527527
155	0.106336441
156	0.1052612686
157	0.1042256355
158	0.1033429337
159	0.1024465942
160	0.1019078732
161	0.1009933281
162	0.1002253437
163	0.09940283775
164	0.09841213226
165	0.09765153885
